Date/Time,Badge Number,Reading
2022-05-09 08:00:00,W-51062362,329861.62
2022-05-09 08:00:00,W-51058852,56559.82
2022-05-09 08:00:00,W-51056119,51587.89
2022-05-09 08:00:00,W-51061468,120299.15
2022-05-09 08:00:00,W-51049682,308442.18
2022-05-09 08:00:00,W-51128209,114646.94
2022-05-09 08:00:00,W-51066043,167642.62
2022-05-09 08:00:00,W-51066498,13303.69
2022-05-09 08:00:00,W-51048050,185596.32
2022-05-09 08:00:00,W-51103322,107843.07
2022-05-09 08:00:00,W-51066289,99118.29
2022-05-09 08:00:00,W-51050655,845578.0
2022-05-09 08:00:00,W-51100630,342038.48
2022-05-09 08:00:00,W-51053878,340621.98
2022-05-09 08:00:00,W-51052738,86972.45
2022-05-09 08:00:00,W-51072639,44840.49
2022-05-09 08:00:00,W-51071566,117392.26
2022-05-09 08:00:00,W-51100210,215621.59
2022-05-09 08:00:00,W-51078912,4296.68
2022-05-09 08:00:00,W-51078872,52066.18
2022-05-09 08:00:00,W-51035272,60759.6
2022-05-09 08:00:00,W-51053672,156483.19
2022-05-09 08:00:00,W-51045152,40130.72
2022-05-09 08:00:00,W-51073479,132357.09
2022-05-09 08:00:00,W-51072089,87076.35
2022-05-09 08:00:00,W-51101333,235466.88
2022-05-09 08:00:00,W-51088120,297410.12
2022-05-09 08:00:00,W-51088067,85.4
2022-05-09 08:00:00,W-51084203,105094.35
2022-05-09 08:00:00,W-51039767,6893.88
2022-05-09 08:00:00,W-51058266,15289.43
2022-05-09 08:00:00,W-51048851,32789.2
2022-05-09 08:00:00,W-51068864,212609.3
2022-05-09 08:00:00,W-51087378,173084.14
2022-05-09 08:00:00,W-51055490,137839.49
2022-05-09 08:00:00,W-51057484,196535.84
2022-05-09 08:00:00,W-51070956,49528.36
2022-05-09 08:00:00,W-51071575,176447.25
2022-05-09 08:00:00,W-51101005,110648.1
2022-05-09 08:00:00,W-51088303,878286.1
2022-05-09 08:00:00,W-51075949,252594.98
2022-05-09 08:00:00,W-51105503,244357.02
2022-05-09 08:00:00,W-51052449,169689.23
2022-05-09 08:00:00,W-51032595,24231.41
2022-05-09 08:00:00,W-51038412,68563.44
2022-05-09 08:00:00,W-51035476,204079.2
2022-05-09 08:00:00,W-51058577,239818.81
2022-05-09 08:00:00,W-51058985,229965.41
2022-05-09 08:00:00,W-51062214,77644.63
2022-05-09 08:00:00,W-51100231,83926.91
2022-05-09 08:00:00,W-51036218,319081.91
2022-05-09 08:00:00,W-51070853,92847.27
2022-05-09 08:00:00,W-51035931,369155.59
2022-05-09 08:00:00,W-51071530,85264.72
2022-05-09 08:00:00,W-51072628,154963.84
2022-05-09 08:00:00,W-51085969,256258.39
2022-05-09 08:00:00,W-51052458,131343.08
2022-05-09 08:00:00,W-51038029,175728.23
2022-05-09 08:00:00,W-51111826,142647.98
2022-05-09 08:00:00,W-51113193,146662.55
2022-05-09 08:00:00,W-51109652,298055.63
2022-05-09 08:00:00,W-51134051,165925.57
2022-05-09 08:00:00,W-51134285,107120.8
2022-05-09 08:00:00,W-51112741,144810.55
2022-05-09 08:00:00,W-51077021,199069.43
2022-05-09 08:00:00,W-51077921,123037.13
2022-05-09 08:00:00,W-51077259,77003.25
2022-05-09 08:00:00,W-51110954,183808.79
2022-05-09 08:00:00,W-51107339,41716.35
2022-05-09 08:00:00,W-51102828,164521.52
2022-05-09 08:00:00,W-51075586,270031.76
2022-05-09 08:00:00,W-51073728,400676.55
2022-05-09 08:00:00,W-51081606,180007.42
2022-05-09 08:00:00,W-51073820,82138.8
2022-05-09 08:00:00,W-51106351,326212.38
2022-05-09 08:00:00,W-51103267,91519.0
2022-05-09 08:00:00,W-51107103,90200.36
2022-05-09 08:00:00,W-51074152,165161.78
2022-05-09 08:00:00,W-51112723,225534.26
2022-05-09 08:00:00,W-51109064,40970.33
2022-05-09 08:00:00,W-51113272,66117.93
2022-05-09 08:00:00,W-51109019,133423.33
2022-05-09 08:00:00,W-51109059,90048.48
2022-05-09 08:00:00,W-51134032,263469.84
2022-05-09 08:00:00,W-51077536,143320.93
2022-05-09 08:00:00,W-51075197,1840894.8
2022-05-09 08:00:00,W-51115648,203419.76
2022-05-09 08:00:00,W-51113207,169737.77
2022-05-09 08:00:00,W-51078172,55129.57
2022-05-09 08:00:00,W-51100678,227943.86
2022-05-09 08:00:00,W-51106830,148198.81
2022-05-09 08:00:00,W-51107734,227959.26
2022-05-09 08:00:00,W-51107512,196663.34
2022-05-09 08:00:00,W-51102605,146141.9
2022-05-09 08:00:00,W-51102149,237965.88
2022-05-09 08:00:00,W-51108307,212833.58
2022-05-09 08:00:00,W-51132906,129008.16
2022-05-09 08:00:00,W-51132071,163820.84
2022-05-09 08:00:00,W-51079157,66637.07
2022-05-09 08:00:00,W-51081178,59442.08
2022-05-09 08:00:00,W-51108759,244611.89
2022-05-09 08:00:00,W-51129914,195110.89
2022-05-09 08:00:00,W-51078920,328444.67
2022-05-09 08:00:00,W-51078397,145948.87
2022-05-09 08:00:00,W-51084485,132781.69
2022-05-09 08:00:00,W-51113203,154130.27
